                                                                                                         
[Epoch 410] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 411] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 412] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 413] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 414] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 415] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 416] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 417] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 418] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 419] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 420] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 421] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 422] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 423] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 424] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 425] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 426] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 427] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 428] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 429] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 430] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 431] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 432] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 433] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 434] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 435] Train Acc: 0.77% | Val Acc: 0.34%
